id,time,x,y,z
3837318216,0,6583,8813,290
3837318216,1,6603,8813,290
3837318216,2,6623,8813,290
3837318216,3,6643,8813,290
3837318216,4,6663,8813,290
3837318216,5,6683,8813,290
3837318216,6,6703,8813,290
3837318216,7,6703,8793,290
3837318216,8,6703,8773,290
3837318216,9,6703,8753,290
3837318216,10,6703,8733,290
3837318216,11,6703,8713,290
3837318216,12,6703,8693,290
3837318216,13,6723,8693,290
3837318216,14,6743,8693,290
3837318216,15,6763,8693,290
3837318216,16,6783,8693,290
3837318216,17,6803,8693,290
3837318216,18,6823,8693,290
3837318216,19,6823,8673,290
3837318216,20,6823,8653,290
3837318216,21,6823,8633,290
3837318216,22,6823,8613,290
3837318216,23,6823,8593,290
3837318216,24,6823,8573,290
3837318216,25,6823,8553,290
3837318216,26,6823,8533,290
3837318216,27,6823,8513,290
3837318216,28,6823,8493,290
3837318216,29,6823,8473,290
3837318216,30,6823,8453,290
3837318216,31,6843,8453,290
3837318216,32,6863,8453,290
3837318216,33,6883,8453,290
3837318216,34,6903,8453,290
3837318216,35,6923,8453,290
3837318216,36,6943,8453,290
3837318216,37,6943,8433,290
3837318216,38,6943,8413,290
3837318216,39,6943,8393,290
3837318216,40,6943,8373,290
3837318216,41,6943,8353,290
3837318216,42,6943,8333,290
3837318216,43,6963,8333,290
3837318216,44,6983,8333,290
3837318216,45,7003,8333,290
3837318216,46,7023,8333,290
3837318216,47,7043,8333,290
3837318216,48,7063,8333,290
3837318216,49,7083,8333,290
3837318216,50,7103,8333,290
3837318216,51,7123,8333,290
3837318216,52,7143,8333,290
3837318216,53,7163,8333,290
3837318216,54,7183,8333,290
3837318216,55,7183,8353,290
3837318216,56,7183,8373,290
3837318216,57,7183,8393,290
3837318216,58,7183,8413,290
3837318216,59,7183,8433,290
3837318216,60,7183,8453,290
3837318216,61,7203,8453,290
3837318216,62,7223,8453,290
3837318216,63,7243,8453,290
3837318216,64,7263,8453,290
3837318216,65,7283,8453,290
3837318216,66,7303,8453,290
3837318216,67,7323,8453,290
3837318216,68,7343,8453,290
3837318216,69,7363,8453,290
3837318216,70,7383,8453,290
3837318216,71,7403,8453,290
3837318216,72,7423,8453,290
3837318216,73,7443,8453,290
3837318216,74,7463,8453,290
3837318216,75,7483,8453,290
3837318216,76,7503,8453,290
3837318216,77,7523,8453,290
3837318216,78,7543,8453,290
3837318216,79,7543,8433,290
3837318216,80,7543,8413,290
3837318216,81,7543,8393,290
3837318216,82,7543,8373,290
3837318216,83,7543,8353,290
3837328220,0,6791,3851,290
3837328220,1,6811,3851,290
3837328220,2,6831,3851,290
3837328220,3,6851,3851,290
3837328220,4,6871,3851,290
3837328220,5,6891,3851,290
3837328220,6,6911,3851,290
3837328220,7,6911,3831,290
3837328220,8,6911,3811,290
3837328220,9,6911,3791,290
3837328220,10,6911,3771,290
3837328220,11,6911,3751,290
3837328220,12,6911,3731,290
3837328220,13,6911,3711,290
3837328220,14,6911,3691,290
3837328220,15,6911,3671,290
3837328220,16,6911,3651,290
3837328220,17,6911,3631,290
3837328220,18,6911,3611,290
3837328220,19,6911,3591,290
3837328220,20,6911,3571,290
3837328220,21,6911,3551,290
3837328220,22,6911,3531,290
3837328220,23,6911,3511,290
3837328220,24,6911,3491,290
3837328220,25,6931,3491,290
3837328220,26,6951,3491,290
3837328220,27,6971,3491,290
3837328220,28,6991,3491,290
3837328220,29,7011,3491,290
3837328220,30,7031,3491,290
3837328220,31,7031,3471,290
3837328220,32,7031,3451,290
3837328220,33,7031,3431,290
3837328220,34,7031,3411,290
3837328220,35,7031,3391,290
3837328220,36,7031,3371,290
3837328220,37,7051,3371,290
3837328220,38,7071,3371,290
3837328220,39,7091,3371,290
3837328220,40,7111,3371,290
3837328220,41,7131,3371,290
3837328220,42,7151,3371,290
3837328220,43,7151,3351,290
3837328220,44,7151,3331,290
3837328220,45,7151,3311,290
3837328220,46,7151,3291,290
3837328220,47,7151,3271,290
3837328220,48,7151,3251,290
3837328220,49,7171,3251,290
3837328220,50,7191,3251,290
3837328220,51,7211,3251,290
3837328220,52,7231,3251,290
3837328220,53,7251,3251,290
3837328220,54,7271,3251,290
3837328220,55,7291,3251,290
3837328220,56,7311,3251,290
3837328220,57,7331,3251,290
3837328220,58,7351,3251,290
3837328220,59,7371,3251,290
3837328220,60,7391,3251,290
3837328220,61,7391,3231,290
3837328220,62,7391,3211,290
3837328220,63,7391,3191,290
3837328220,64,7391,3171,290
3837328220,65,7391,3151,290
3837328220,66,7391,3131,290
3837328220,67,7371,3131,290
3837328220,68,7351,3131,290
3837328220,69,7331,3131,290
3837328220,70,7311,3131,290
3837328220,71,7291,3131,290
3837328220,72,7271,3131,290
